trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#Cesar2023,http://twitter.com/search?q=%23Cesar2023,NA,%23Cesar2023,20771,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Elche,http://twitter.com/search?q=Elche,NA,Elche,12533,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
#XboxFreeCodeFriday,http://twitter.com/search?q=%23XboxFreeCodeFriday,NA,%23XboxFreeCodeFriday,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Marcelo,http://twitter.com/search?q=Marcelo,NA,Marcelo,88094,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
#Gogglebox,http://twitter.com/search?q=%23Gogglebox,NA,%23Gogglebox,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
#propagandalive,http://twitter.com/search?q=%23propagandalive,NA,%23propagandalive,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
#M05BMG,http://twitter.com/search?q=%23M05BMG,NA,%23M05BMG,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Fulham,http://twitter.com/search?q=Fulham,NA,Fulham,16217,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Brad Pitt,http://twitter.com/search?q=%22Brad+Pitt%22,NA,%22Brad+Pitt%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Shakira,http://twitter.com/search?q=Shakira,NA,Shakira,155807,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Rosario Robles,http://twitter.com/search?q=%22Rosario+Robles%22,NA,%22Rosario+Robles%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Yahaya Bello,http://twitter.com/search?q=%22Yahaya+Bello%22,NA,%22Yahaya+Bello%22,31297,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Wolves,http://twitter.com/search?q=Wolves,NA,Wolves,28235,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Manor Solomon,http://twitter.com/search?q=%22Manor+Solomon%22,NA,%22Manor+Solomon%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Radio 2,http://twitter.com/search?q=%22Radio+2%22,NA,%22Radio+2%22,20998,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Rita Lee,http://twitter.com/search?q=%22Rita+Lee%22,NA,%22Rita+Lee%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Karol G,http://twitter.com/search?q=%22Karol+G%22,NA,%22Karol+G%22,54376,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Ukrainian,http://twitter.com/search?q=Ukrainian,NA,Ukrainian,206173,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Spyro,http://twitter.com/search?q=Spyro,NA,Spyro,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
National Day of Hate,http://twitter.com/search?q=%22National+Day+of+Hate%22,NA,%22National+Day+of+Hate%22,21859,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
宝石の国,http://twitter.com/search?q=%E5%AE%9D%E7%9F%B3%E3%81%AE%E5%9B%BD,NA,%E5%AE%9D%E7%9F%B3%E3%81%AE%E5%9B%BD,12876,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Estafa Maestra,http://twitter.com/search?q=%22Estafa+Maestra%22,NA,%22Estafa+Maestra%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Ucrania,http://twitter.com/search?q=Ucrania,NA,Ucrania,190217,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Fnatic,http://twitter.com/search?q=Fnatic,NA,Fnatic,30205,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Lemina,http://twitter.com/search?q=Lemina,NA,Lemina,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Jérôme Commandeur,http://twitter.com/search?q=%22J%C3%A9r%C3%B4me+Commandeur%22,NA,%22J%C3%A9r%C3%B4me+Commandeur%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Brest,http://twitter.com/search?q=Brest,NA,Brest,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Gorillaz,http://twitter.com/search?q=Gorillaz,NA,Gorillaz,36964,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Borja Iglesias,http://twitter.com/search?q=%22Borja+Iglesias%22,NA,%22Borja+Iglesias%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Sarabia,http://twitter.com/search?q=Sarabia,NA,Sarabia,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Christine Anderson,http://twitter.com/search?q=%22Christine+Anderson%22,NA,%22Christine+Anderson%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Cocaine Bear,http://twitter.com/search?q=%22Cocaine+Bear%22,NA,%22Cocaine+Bear%22,48807,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
MILEY IS COMING,http://twitter.com/search?q=%22MILEY+IS+COMING%22,NA,%22MILEY+IS+COMING%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Martínez Valero,http://twitter.com/search?q=%22Mart%C3%ADnez+Valero%22,NA,%22Mart%C3%ADnez+Valero%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Mainz,http://twitter.com/search?q=Mainz,NA,Mainz,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Enzo Roco,http://twitter.com/search?q=%22Enzo+Roco%22,NA,%22Enzo+Roco%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Ahmed Sylla,http://twitter.com/search?q=%22Ahmed+Sylla%22,NA,%22Ahmed+Sylla%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
David Fincher,http://twitter.com/search?q=%22David+Fincher%22,NA,%22David+Fincher%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Sentinels,http://twitter.com/search?q=Sentinels,NA,Sentinels,33996,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Süreyya Önder,http://twitter.com/search?q=%22S%C3%BCreyya+%C3%96nder%22,NA,%22S%C3%BCreyya+%C3%96nder%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Alice Diop,http://twitter.com/search?q=%22Alice+Diop%22,NA,%22Alice+Diop%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
Mike Ford,http://twitter.com/search?q=%22Mike+Ford%22,NA,%22Mike+Ford%22,NA,Worldwide,1,2023-02-25T04:11:05Z,2023-02-22T19:40:00Z
