trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Aaron Rodgers,http://twitter.com/search?q=%22Aaron+Rodgers%22,NA,%22Aaron+Rodgers%22,15771,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Justin Fields,http://twitter.com/search?q=%22Justin+Fields%22,NA,%22Justin+Fields%22,22491,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Packers,http://twitter.com/search?q=Packers,NA,Packers,60636,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Joe Mixon,http://twitter.com/search?q=%22Joe+Mixon%22,NA,%22Joe+Mixon%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Josh Allen,http://twitter.com/search?q=%22Josh+Allen%22,NA,%22Josh+Allen%22,12409,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
#TOTLIV,http://twitter.com/search?q=%23TOTLIV,NA,%23TOTLIV,59649,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Colts,http://twitter.com/search?q=Colts,NA,Colts,38151,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
#Uyajola99,http://twitter.com/search?q=%23Uyajola99,NA,%23Uyajola99,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
#RomaLazio,http://twitter.com/search?q=%23RomaLazio,NA,%23RomaLazio,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
#FinsUp,http://twitter.com/search?q=%23FinsUp,NA,%23FinsUp,12238,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Aaron Jones,http://twitter.com/search?q=%22Aaron+Jones%22,NA,%22Aaron+Jones%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
#DaBears,http://twitter.com/search?q=%23DaBears,NA,%23DaBears,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Chargers,http://twitter.com/search?q=Chargers,NA,Chargers,33794,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Khalil Mack,http://twitter.com/search?q=%22Khalil+Mack%22,NA,%22Khalil+Mack%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Panthers,http://twitter.com/search?q=Panthers,NA,Panthers,42263,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Dier,http://twitter.com/search?q=Dier,NA,Dier,20102,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Jordan Love,http://twitter.com/search?q=%22Jordan+Love%22,NA,%22Jordan+Love%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Kerby Joseph,http://twitter.com/search?q=%22Kerby+Joseph%22,NA,%22Kerby+Joseph%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Yusuf Erdoğan,http://twitter.com/search?q=%22Yusuf+Erdo%C4%9Fan%22,NA,%22Yusuf+Erdo%C4%9Fan%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Davante Adams,http://twitter.com/search?q=%22Davante+Adams%22,NA,%22Davante+Adams%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
DeSantis,http://twitter.com/search?q=DeSantis,NA,DeSantis,260694,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Trent,http://twitter.com/search?q=Trent,NA,Trent,20380,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Konate,http://twitter.com/search?q=Konate,NA,Konate,11639,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Villarreal,http://twitter.com/search?q=Villarreal,NA,Villarreal,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Ronaldo,http://twitter.com/search?q=Ronaldo,NA,Ronaldo,181962,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Jason Sanders,http://twitter.com/search?q=%22Jason+Sanders%22,NA,%22Jason+Sanders%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Ituano,http://twitter.com/search?q=Ituano,NA,Ituano,35878,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Tottenham,http://twitter.com/search?q=Tottenham,NA,Tottenham,87566,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Drake London,http://twitter.com/search?q=%22Drake+London%22,NA,%22Drake+London%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Goff,http://twitter.com/search?q=Goff,NA,Goff,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Nunez,http://twitter.com/search?q=Nunez,NA,Nunez,28989,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Heinicke,http://twitter.com/search?q=Heinicke,NA,Heinicke,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Chelsea,http://twitter.com/search?q=Chelsea,NA,Chelsea,394190,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Tyreek Hill,http://twitter.com/search?q=%22Tyreek+Hill%22,NA,%22Tyreek+Hill%22,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Patterson,http://twitter.com/search?q=Patterson,NA,Patterson,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Setién,http://twitter.com/search?q=Seti%C3%A9n,NA,Seti%C3%A9n,NA,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
Arsenal,http://twitter.com/search?q=Arsenal,NA,Arsenal,555195,Worldwide,1,2022-11-07T02:00:07Z,2022-11-05T16:24:36Z
