trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
hobi,http://twitter.com/search?q=hobi,NA,hobi,191662,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
hoseok,http://twitter.com/search?q=hoseok,NA,hoseok,64606,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
jhope,http://twitter.com/search?q=jhope,NA,jhope,188940,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
seokjin,http://twitter.com/search?q=seokjin,NA,seokjin,71594,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
Tatum,http://twitter.com/search?q=Tatum,NA,Tatum,38620,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
#YUDT,http://twitter.com/search?q=%23YUDT,NA,%23YUDT,NA,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
ジンくん,http://twitter.com/search?q=%E3%82%B8%E3%83%B3%E3%81%8F%E3%82%93,NA,%E3%82%B8%E3%83%B3%E3%81%8F%E3%82%93,NA,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
#BBB23,http://twitter.com/search?q=%23BBB23,NA,%23BBB23,448517,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
Embiid,http://twitter.com/search?q=Embiid,NA,Embiid,31791,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
Celtics,http://twitter.com/search?q=Celtics,NA,Celtics,46338,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
中山記念,http://twitter.com/search?q=%E4%B8%AD%E5%B1%B1%E8%A8%98%E5%BF%B5,NA,%E4%B8%AD%E5%B1%B1%E8%A8%98%E5%BF%B5,85644,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
BIGHIT,http://twitter.com/search?q=BIGHIT,NA,BIGHIT,179040,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
الفصل الدراسي الثاني,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%81%D8%B5%D9%84+%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A+%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%22,NA,%22%D8%A7%D9%84%D9%81%D8%B5%D9%84+%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A+%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%22,20291,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
WILDTONIGHT ON AOS,http://twitter.com/search?q=%22WILDTONIGHT+ON+AOS%22,NA,%22WILDTONIGHT+ON+AOS%22,27598,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
ホビたん,http://twitter.com/search?q=%E3%83%9B%E3%83%93%E3%81%9F%E3%82%93,NA,%E3%83%9B%E3%83%93%E3%81%9F%E3%82%93,NA,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
丈くんドラマ,http://twitter.com/search?q=%E4%B8%88%E3%81%8F%E3%82%93%E3%83%89%E3%83%A9%E3%83%9E,NA,%E4%B8%88%E3%81%8F%E3%82%93%E3%83%89%E3%83%A9%E3%83%9E,NA,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
ホソクさん,http://twitter.com/search?q=%E3%83%9B%E3%82%BD%E3%82%AF%E3%81%95%E3%82%93,NA,%E3%83%9B%E3%82%BD%E3%82%AF%E3%81%95%E3%82%93,NA,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
みかちゃん,http://twitter.com/search?q=%E3%81%BF%E3%81%8B%E3%81%A1%E3%82%83%E3%82%93,NA,%E3%81%BF%E3%81%8B%E3%81%A1%E3%82%83%E3%82%93,NA,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
Sixers,http://twitter.com/search?q=Sixers,NA,Sixers,23460,Worldwide,1,2023-02-26T12:23:15Z,2023-02-24T01:12:22Z
