trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#Sanremo2023,http://twitter.com/search?q=%23Sanremo2023,NA,%23Sanremo2023,521718,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
#RIPAKA,http://twitter.com/search?q=%23RIPAKA,NA,%23RIPAKA,14072,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
#XboxFreeCodeFriday,http://twitter.com/search?q=%23XboxFreeCodeFriday,NA,%23XboxFreeCodeFriday,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Alaska,http://twitter.com/search?q=Alaska,NA,Alaska,90754,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Elisa,http://twitter.com/search?q=Elisa,NA,Elisa,53316,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
#RubbishNames,http://twitter.com/search?q=%23RubbishNames,NA,%23RubbishNames,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
#depremzede,http://twitter.com/search?q=%23depremzede,NA,%23depremzede,295435,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
建国記念の日,http://twitter.com/search?q=%E5%BB%BA%E5%9B%BD%E8%A8%98%E5%BF%B5%E3%81%AE%E6%97%A5,NA,%E5%BB%BA%E5%9B%BD%E8%A8%98%E5%BF%B5%E3%81%AE%E6%97%A5,18832,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Carla Bruni,http://twitter.com/search?q=%22Carla+Bruni%22,NA,%22Carla+Bruni%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Arisa,http://twitter.com/search?q=Arisa,NA,Arisa,30984,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Dalas,http://twitter.com/search?q=Dalas,NA,Dalas,18891,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
青鬼さん,http://twitter.com/search?q=%E9%9D%92%E9%AC%BC%E3%81%95%E3%82%93,NA,%E9%9D%92%E9%AC%BC%E3%81%95%E3%82%93,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Not AKA,http://twitter.com/search?q=%22Not+AKA%22,NA,%22Not+AKA%22,10083,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
レノテン,http://twitter.com/search?q=%E3%83%AC%E3%83%8E%E3%83%86%E3%83%B3,NA,%E3%83%AC%E3%83%8E%E3%83%86%E3%83%B3,10213,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Durban,http://twitter.com/search?q=Durban,NA,Durban,18744,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Tanya,http://twitter.com/search?q=Tanya,NA,Tanya,51779,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Knowsley,http://twitter.com/search?q=Knowsley,NA,Knowsley,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
ムビナナ,http://twitter.com/search?q=%E3%83%A0%E3%83%93%E3%83%8A%E3%83%8A,NA,%E3%83%A0%E3%83%93%E3%83%8A%E3%83%8A,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Emma,http://twitter.com/search?q=Emma,NA,Emma,77546,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
الزمالك,http://twitter.com/search?q=%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%84%D9%83,NA,%D8%A7%D9%84%D8%B2%D9%85%D8%A7%D9%84%D9%83,34978,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
レノくん,http://twitter.com/search?q=%E3%83%AC%E3%83%8E%E3%81%8F%E3%82%93,NA,%E3%83%AC%E3%83%8E%E3%81%8F%E3%82%93,12848,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Shaq,http://twitter.com/search?q=Shaq,NA,Shaq,20652,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Adélia Prado,http://twitter.com/search?q=%22Ad%C3%A9lia+Prado%22,NA,%22Ad%C3%A9lia+Prado%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
アラスカ上空,http://twitter.com/search?q=%E3%82%A2%E3%83%A9%E3%82%B9%E3%82%AB%E4%B8%8A%E7%A9%BA,NA,%E3%82%A2%E3%83%A9%E3%82%B9%E3%82%AB%E4%B8%8A%E7%A9%BA,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Kirkby,http://twitter.com/search?q=Kirkby,NA,Kirkby,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Thiago Silva,http://twitter.com/search?q=%22Thiago+Silva%22,NA,%22Thiago+Silva%22,25420,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Kiernan,http://twitter.com/search?q=Kiernan,NA,Kiernan,12519,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
フォト風クリアカード,http://twitter.com/search?q=%E3%83%95%E3%82%A9%E3%83%88%E9%A2%A8%E3%82%AF%E3%83%AA%E3%82%A2%E3%82%AB%E3%83%BC%E3%83%89,NA,%E3%83%95%E3%82%A9%E3%83%88%E9%A2%A8%E3%82%AF%E3%83%AA%E3%82%A2%E3%82%AB%E3%83%BC%E3%83%89,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Manuel Agnelli,http://twitter.com/search?q=%22Manuel+Agnelli%22,NA,%22Manuel+Agnelli%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Tibz,http://twitter.com/search?q=Tibz,NA,Tibz,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
روما,http://twitter.com/search?q=%D8%B1%D9%88%D9%85%D8%A7,NA,%D8%B1%D9%88%D9%85%D8%A7,17822,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Win x JKT,http://twitter.com/search?q=%22Win+x+JKT%22,NA,%22Win+x+JKT%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Giroud,http://twitter.com/search?q=Giroud,NA,Giroud,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Chiara Francini,http://twitter.com/search?q=%22Chiara+Francini%22,NA,%22Chiara+Francini%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Eros,http://twitter.com/search?q=Eros,NA,Eros,19616,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
JULIETTE NO BAILE DA VOGUE,http://twitter.com/search?q=%22JULIETTE+NO+BAILE+DA+VOGUE%22,NA,%22JULIETTE+NO+BAILE+DA+VOGUE%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Thiaw,http://twitter.com/search?q=Thiaw,NA,Thiaw,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
東京競馬,http://twitter.com/search?q=%E6%9D%B1%E4%BA%AC%E7%AB%B6%E9%A6%AC,NA,%E6%9D%B1%E4%BA%AC%E7%AB%B6%E9%A6%AC,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
志摩スペイン村,http://twitter.com/search?q=%E5%BF%97%E6%91%A9%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E6%9D%91,NA,%E5%BF%97%E6%91%A9%E3%82%B9%E3%83%9A%E3%82%A4%E3%83%B3%E6%9D%91,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
テンマくん,http://twitter.com/search?q=%E3%83%86%E3%83%B3%E3%83%9E%E3%81%8F%E3%82%93,NA,%E3%83%86%E3%83%B3%E3%83%9E%E3%81%8F%E3%82%93,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
BEBO PRA SENTAR,http://twitter.com/search?q=%22BEBO+PRA+SENTAR%22,NA,%22BEBO+PRA+SENTAR%22,11858,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Tiakola,http://twitter.com/search?q=Tiakola,NA,Tiakola,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Blaqbonez Crusade,http://twitter.com/search?q=%22Blaqbonez+Crusade%22,NA,%22Blaqbonez+Crusade%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Kairo,http://twitter.com/search?q=Kairo,NA,Kairo,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
LALISA AT CELINE LEPALACE,http://twitter.com/search?q=%22LALISA+AT+CELINE+LEPALACE%22,NA,%22LALISA+AT+CELINE+LEPALACE%22,833507,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Supa Mega,http://twitter.com/search?q=%22Supa+Mega%22,NA,%22Supa+Mega%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Pierre Palmade,http://twitter.com/search?q=%22Pierre+Palmade%22,NA,%22Pierre+Palmade%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Ümit Özdağ,http://twitter.com/search?q=%22%C3%9Cmit+%C3%96zda%C4%9F%22,NA,%22%C3%9Cmit+%C3%96zda%C4%9F%22,124347,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
SENTO PRA BEBER,http://twitter.com/search?q=%22SENTO+PRA+BEBER%22,NA,%22SENTO+PRA+BEBER%22,11864,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
Super Mega,http://twitter.com/search?q=%22Super+Mega%22,NA,%22Super+Mega%22,NA,Worldwide,1,2023-02-11T05:44:07Z,2023-02-09T13:38:42Z
