trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Cardinals,http://twitter.com/search?q=Cardinals,NA,Cardinals,47197,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Phillies,http://twitter.com/search?q=Phillies,NA,Phillies,63578,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Draymond,http://twitter.com/search?q=Draymond,NA,Draymond,325765,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
#STLCards,http://twitter.com/search?q=%23STLCards,NA,%23STLCards,12273,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Poole,http://twitter.com/search?q=Poole,NA,Poole,306417,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Helsley,http://twitter.com/search?q=Helsley,NA,Helsley,NA,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
#taleequaleshow,http://twitter.com/search?q=%23taleequaleshow,NA,%23taleequaleshow,10212,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
#TVdoHexaNoMagalu,http://twitter.com/search?q=%23TVdoHexaNoMagalu,NA,%23TVdoHexaNoMagalu,NA,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
#DALS,http://twitter.com/search?q=%23DALS,NA,%23DALS,12951,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Datena,http://twitter.com/search?q=Datena,NA,Datena,20670,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
#RedOctober,http://twitter.com/search?q=%23RedOctober,NA,%23RedOctober,10164,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Mariners,http://twitter.com/search?q=Mariners,NA,Mariners,49235,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Manoah,http://twitter.com/search?q=Manoah,NA,Manoah,NA,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
Jon Stewart,http://twitter.com/search?q=%22Jon+Stewart%22,NA,%22Jon+Stewart%22,NA,Worldwide,1,2022-10-08T02:54:54Z,2022-10-03T22:44:19Z
