trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#earthquake,http://twitter.com/search?q=%23earthquake,NA,%23earthquake,139379,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
#TEKETEK,http://twitter.com/search?q=%23TEKETEK,NA,%23TEKETEK,NA,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
chaeyoung,http://twitter.com/search?q=chaeyoung,NA,chaeyoung,87714,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
رمضان كريم,http://twitter.com/search?q=%22%D8%B1%D9%85%D8%B6%D8%A7%D9%86+%D9%83%D8%B1%D9%8A%D9%85%22,NA,%22%D8%B1%D9%85%D8%B6%D8%A7%D9%86+%D9%83%D8%B1%D9%8A%D9%85%22,31307,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
Willis Reed,http://twitter.com/search?q=%22Willis+Reed%22,NA,%22Willis+Reed%22,15332,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
#TrumpArrest,http://twitter.com/search?q=%23TrumpArrest,NA,%23TrumpArrest,21283,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
ميسي,http://twitter.com/search?q=%D9%85%D9%8A%D8%B3%D9%8A,NA,%D9%85%D9%8A%D8%B3%D9%8A,94123,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
#temblor,http://twitter.com/search?q=%23temblor,NA,%23temblor,18403,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
#Aile,http://twitter.com/search?q=%23Aile,NA,%23Aile,12221,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
Moro,http://twitter.com/search?q=Moro,NA,Moro,62424,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
Bard,http://twitter.com/search?q=Bard,NA,Bard,49790,Worldwide,1,2023-03-22T02:37:34Z,2023-03-18T15:03:20Z
