trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Rashford,http://twitter.com/search?q=Rashford,NA,Rashford,130599,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
#BARMUN,http://twitter.com/search?q=%23BARMUN,NA,%23BARMUN,63236,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
Xavi,http://twitter.com/search?q=Xavi,NA,Xavi,72150,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
Casemiro,http://twitter.com/search?q=Casemiro,NA,Casemiro,45796,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
Barca,http://twitter.com/search?q=Barca,NA,Barca,236138,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
#الاتحاد_الاتفاق,http://twitter.com/search?q=%23%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%A7%D9%84%D8%A7%D8%AA%D9%81%D8%A7%D9%82,NA,%23%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF_%D8%A7%D9%84%D8%A7%D8%AA%D9%81%D8%A7%D9%82,44227,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
Barcelona,http://twitter.com/search?q=Barcelona,NA,Barcelona,321864,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
تشافي,http://twitter.com/search?q=%D8%AA%D8%B4%D8%A7%D9%81%D9%8A,NA,%D8%AA%D8%B4%D8%A7%D9%81%D9%8A,11476,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
Raphinha,http://twitter.com/search?q=Raphinha,NA,Raphinha,30792,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
#PipocadaIvete,http://twitter.com/search?q=%23PipocadaIvete,NA,%23PipocadaIvete,NA,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
Gavi,http://twitter.com/search?q=Gavi,NA,Gavi,40169,Worldwide,1,2023-02-17T01:44:58Z,2023-02-14T15:49:19Z
