trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
ハイスタ,http://twitter.com/search?q=%E3%83%8F%E3%82%A4%E3%82%B9%E3%82%BF,NA,%E3%83%8F%E3%82%A4%E3%82%B9%E3%82%BF,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Paula,http://twitter.com/search?q=Paula,NA,Paula,130940,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
アルベド,http://twitter.com/search?q=%E3%82%A2%E3%83%AB%E3%83%99%E3%83%89,NA,%E3%82%A2%E3%83%AB%E3%83%99%E3%83%89,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
アルハイゼン復刻,http://twitter.com/search?q=%E3%82%A2%E3%83%AB%E3%83%8F%E3%82%A4%E3%82%BC%E3%83%B3%E5%BE%A9%E5%88%BB,NA,%E3%82%A2%E3%83%AB%E3%83%8F%E3%82%A4%E3%82%BC%E3%83%B3%E5%BE%A9%E5%88%BB,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
gaga,http://twitter.com/search?q=gaga,NA,gaga,108103,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
カブトボーグ,http://twitter.com/search?q=%E3%82%AB%E3%83%96%E3%83%88%E3%83%9C%E3%83%BC%E3%82%B0,NA,%E3%82%AB%E3%83%96%E3%83%88%E3%83%9C%E3%83%BC%E3%82%B0,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Bucks,http://twitter.com/search?q=Bucks,NA,Bucks,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
ディシア,http://twitter.com/search?q=%E3%83%87%E3%82%A3%E3%82%B7%E3%82%A2,NA,%E3%83%87%E3%82%A3%E3%82%B7%E3%82%A2,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
ダンベル,http://twitter.com/search?q=%E3%83%80%E3%83%B3%E3%83%99%E3%83%AB,NA,%E3%83%80%E3%83%B3%E3%83%99%E3%83%AB,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Celtics,http://twitter.com/search?q=Celtics,NA,Celtics,38521,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
セノ復刻,http://twitter.com/search?q=%E3%82%BB%E3%83%8E%E5%BE%A9%E5%88%BB,NA,%E3%82%BB%E3%83%8E%E5%BE%A9%E5%88%BB,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Jrue,http://twitter.com/search?q=Jrue,NA,Jrue,11097,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
ネメシス,http://twitter.com/search?q=%E3%83%8D%E3%83%A1%E3%82%B7%E3%82%B9,NA,%E3%83%8D%E3%83%A1%E3%82%B7%E3%82%B9,26170,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
エウルア,http://twitter.com/search?q=%E3%82%A8%E3%82%A6%E3%83%AB%E3%82%A2,NA,%E3%82%A8%E3%82%A6%E3%83%AB%E3%82%A2,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
薩摩ホグワーツ,http://twitter.com/search?q=%E8%96%A9%E6%91%A9%E3%83%9B%E3%82%B0%E3%83%AF%E3%83%BC%E3%83%84,NA,%E8%96%A9%E6%91%A9%E3%83%9B%E3%82%B0%E3%83%AF%E3%83%BC%E3%83%84,129852,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
セノくん,http://twitter.com/search?q=%E3%82%BB%E3%83%8E%E3%81%8F%E3%82%93,NA,%E3%82%BB%E3%83%8E%E3%81%8F%E3%82%93,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Richard Eliezer,http://twitter.com/search?q=%22Richard+Eliezer%22,NA,%22Richard+Eliezer%22,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
アートブック,http://twitter.com/search?q=%E3%82%A2%E3%83%BC%E3%83%88%E3%83%96%E3%83%83%E3%82%AF,NA,%E3%82%A2%E3%83%BC%E3%83%88%E3%83%96%E3%83%83%E3%82%AF,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
#mha380,http://twitter.com/search?q=%23mha380,NA,%23mha380,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
マキマさん,http://twitter.com/search?q=%E3%83%9E%E3%82%AD%E3%83%9E%E3%81%95%E3%82%93,NA,%E3%83%9E%E3%82%AD%E3%83%9E%E3%81%95%E3%82%93,14972,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
竹MOD,http://twitter.com/search?q=%E7%AB%B9MOD,NA,%E7%AB%B9MOD,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Hi-STANDARD,http://twitter.com/search?q=Hi-STANDARD,NA,Hi-STANDARD,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Giannis,http://twitter.com/search?q=Giannis,NA,Giannis,17156,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
#TheOnlyOneHPS,http://twitter.com/search?q=%23TheOnlyOneHPS,NA,%23TheOnlyOneHPS,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
JAPAN JAM,http://twitter.com/search?q=%22JAPAN+JAM%22,NA,%22JAPAN+JAM%22,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Grant Williams,http://twitter.com/search?q=%22Grant+Williams%22,NA,%22Grant+Williams%22,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
桜バイオーム,http://twitter.com/search?q=%E6%A1%9C%E3%83%90%E3%82%A4%E3%82%AA%E3%83%BC%E3%83%A0,NA,%E6%A1%9C%E3%83%90%E3%82%A4%E3%82%AA%E3%83%BC%E3%83%A0,20091,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
#SantRampalJiBodhDiwas,http://twitter.com/search?q=%23SantRampalJiBodhDiwas,NA,%23SantRampalJiBodhDiwas,184146,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
#joker2,http://twitter.com/search?q=%23joker2,NA,%23joker2,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Juliette,http://twitter.com/search?q=Juliette,NA,Juliette,31654,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
メトロック,http://twitter.com/search?q=%E3%83%A1%E3%83%88%E3%83%AD%E3%83%83%E3%82%AF,NA,%E3%83%A1%E3%83%88%E3%83%AD%E3%83%83%E3%82%AF,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
#70MriBBonBamBam,http://twitter.com/search?q=%2370MriBBonBamBam,NA,%2370MriBBonBamBam,28416,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
謎解き成功,http://twitter.com/search?q=%E8%AC%8E%E8%A7%A3%E3%81%8D%E6%88%90%E5%8A%9F,NA,%E8%AC%8E%E8%A7%A3%E3%81%8D%E6%88%90%E5%8A%9F,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
STAY GOLD,http://twitter.com/search?q=%22STAY+GOLD%22,NA,%22STAY+GOLD%22,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
ショッピングバッグ,http://twitter.com/search?q=%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%90%E3%83%83%E3%82%B0,NA,%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%90%E3%83%83%E3%82%B0,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
Hendi Prio Santoso,http://twitter.com/search?q=%22Hendi+Prio+Santoso%22,NA,%22Hendi+Prio+Santoso%22,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
2 Days Left For Bodh Diwas,http://twitter.com/search?q=%222+Days+Left+For+Bodh+Diwas%22,NA,%222+Days+Left+For+Bodh+Diwas%22,148327,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
小春ちゃん,http://twitter.com/search?q=%E5%B0%8F%E6%98%A5%E3%81%A1%E3%82%83%E3%82%93,NA,%E5%B0%8F%E6%98%A5%E3%81%A1%E3%82%83%E3%82%93,NA,Worldwide,1,2023-02-15T11:41:55Z,2023-02-13T02:23:29Z
