trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Richarlison,http://twitter.com/search?q=Richarlison,NA,Richarlison,15978,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Neymar,http://twitter.com/search?q=Neymar,NA,Neymar,58491,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
#BRAGHA,http://twitter.com/search?q=%23BRAGHA,NA,%23BRAGHA,15598,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Marquinhos,http://twitter.com/search?q=Marquinhos,NA,Marquinhos,NA,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Gana,http://twitter.com/search?q=Gana,NA,Gana,88327,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
#ITAENG,http://twitter.com/search?q=%23ITAENG,NA,%23ITAENG,NA,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Vini Jr,http://twitter.com/search?q=%22Vini+Jr%22,NA,%22Vini+Jr%22,10154,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
#freecodefridaycontest,http://twitter.com/search?q=%23freecodefridaycontest,NA,%23freecodefridaycontest,NA,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
#Strictly,http://twitter.com/search?q=%23Strictly,NA,%23Strictly,NA,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
#PMSNFLWeek3,http://twitter.com/search?q=%23PMSNFLWeek3,NA,%23PMSNFLWeek3,NA,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Telfar,http://twitter.com/search?q=Telfar,NA,Telfar,28817,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Hexa,http://twitter.com/search?q=Hexa,NA,Hexa,27494,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Southgate,http://twitter.com/search?q=Southgate,NA,Southgate,11820,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
Otto Addo,http://twitter.com/search?q=%22Otto+Addo%22,NA,%22Otto+Addo%22,NA,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
World Cup,http://twitter.com/search?q=%22World+Cup%22,NA,%22World+Cup%22,128452,Worldwide,1,2022-09-24T00:30:09Z,2022-09-22T15:34:59Z
