trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Kelce,http://twitter.com/search?q=Kelce,NA,Kelce,31981,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Chargers,http://twitter.com/search?q=Chargers,NA,Chargers,58809,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
#TheWalkingDead,http://twitter.com/search?q=%23TheWalkingDead,NA,%23TheWalkingDead,68701,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Chiefs,http://twitter.com/search?q=Chiefs,NA,Chiefs,85831,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Juliana,http://twitter.com/search?q=Juliana,NA,Juliana,101278,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
#RHOP,http://twitter.com/search?q=%23RHOP,NA,%23RHOP,65722,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Bob Iger,http://twitter.com/search?q=%22Bob+Iger%22,NA,%22Bob+Iger%22,36259,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
#AMAs,http://twitter.com/search?q=%23AMAs,NA,%23AMAs,4679188,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Herbert,http://twitter.com/search?q=Herbert,NA,Herbert,54702,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Chapek,http://twitter.com/search?q=Chapek,NA,Chapek,34716,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
#選ぼう充電のパートナー,http://twitter.com/search?q=%23%E9%81%B8%E3%81%BC%E3%81%86%E5%85%85%E9%9B%BB%E3%81%AE%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC,NA,%23%E9%81%B8%E3%81%BC%E3%81%86%E5%85%85%E9%9B%BB%E3%81%AE%E3%83%91%E3%83%BC%E3%83%88%E3%83%8A%E3%83%BC,NA,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Robyn,http://twitter.com/search?q=Robyn,NA,Robyn,27561,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
#TWDFinale,http://twitter.com/search?q=%23TWDFinale,NA,%23TWDFinale,27445,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Rosita,http://twitter.com/search?q=Rosita,NA,Rosita,16832,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Wendy,http://twitter.com/search?q=Wendy,NA,Wendy,72844,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
LITTLE FREAK,http://twitter.com/search?q=%22LITTLE+FREAK%22,NA,%22LITTLE+FREAK%22,23994,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Klay,http://twitter.com/search?q=Klay,NA,Klay,41799,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
sabrina,http://twitter.com/search?q=sabrina,NA,sabrina,64084,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
Hive,http://twitter.com/search?q=Hive,NA,Hive,40924,Worldwide,1,2022-11-21T10:56:36Z,2022-11-18T18:24:47Z
