trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Lula,http://twitter.com/search?q=Lula,NA,Lula,374532,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
#SafeFlightOurAstronaut,http://twitter.com/search?q=%23SafeFlightOurAstronaut,NA,%23SafeFlightOurAstronaut,136261,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
محمود علاء,http://twitter.com/search?q=%22%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%B9%D9%84%D8%A7%D8%A1%22,NA,%22%D9%85%D8%AD%D9%85%D9%88%D8%AF+%D8%B9%D9%84%D8%A7%D8%A1%22,NA,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
#GoldenGlobes,http://twitter.com/search?q=%23GoldenGlobes,NA,%23GoldenGlobes,105116,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Alexandre de Moraes,http://twitter.com/search?q=%22Alexandre+de+Moraes%22,NA,%22Alexandre+de+Moraes%22,27925,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
#GiftRTX,http://twitter.com/search?q=%23GiftRTX,NA,%23GiftRTX,19301,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
#farewelljin,http://twitter.com/search?q=%23farewelljin,NA,%23farewelljin,85962,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
#석진이_없어도_울지않고_기다릴게,http://twitter.com/search?q=%23%EC%84%9D%EC%A7%84%EC%9D%B4_%EC%97%86%EC%96%B4%EB%8F%84_%EC%9A%B8%EC%A7%80%EC%95%8A%EA%B3%A0_%EA%B8%B0%EB%8B%A4%EB%A6%B4%EA%B2%8C,NA,%23%EC%84%9D%EC%A7%84%EC%9D%B4_%EC%97%86%EC%96%B4%EB%8F%84_%EC%9A%B8%EC%A7%80%EC%95%8A%EA%B3%A0_%EA%B8%B0%EB%8B%A4%EB%A6%B4%EA%B2%8C,94593,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Dave Chappelle,http://twitter.com/search?q=%22Dave+Chappelle%22,NA,%22Dave+Chappelle%22,67855,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Luciani,http://twitter.com/search?q=Luciani,NA,Luciani,88116,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Shannon,http://twitter.com/search?q=Shannon,NA,Shannon,16435,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
JULIETTE COM LACTA,http://twitter.com/search?q=%22JULIETTE+COM+LACTA%22,NA,%22JULIETTE+COM+LACTA%22,10085,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Skip,http://twitter.com/search?q=Skip,NA,Skip,58035,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
The 10,http://twitter.com/search?q=%22The+10%22,NA,%22The+10%22,548156,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Ancelotti,http://twitter.com/search?q=Ancelotti,NA,Ancelotti,35037,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
ياسر ابراهيم,http://twitter.com/search?q=%22%D9%8A%D8%A7%D8%B3%D8%B1+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%22,NA,%22%D9%8A%D8%A7%D8%B3%D8%B1+%D8%A7%D8%A8%D8%B1%D8%A7%D9%87%D9%8A%D9%85%22,NA,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
sabrina,http://twitter.com/search?q=sabrina,NA,sabrina,29773,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
Campeão da Libertadores,http://twitter.com/search?q=%22Campe%C3%A3o+da+Libertadores%22,NA,%22Campe%C3%A3o+da+Libertadores%22,NA,Worldwide,1,2022-12-13T00:24:50Z,2022-12-11T17:00:07Z
