trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Annecy,http://twitter.com/search?q=Annecy,NA,Annecy,51712,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
#loveIsland,http://twitter.com/search?q=%23loveIsland,NA,%23loveIsland,81496,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
#MUNWHU,http://twitter.com/search?q=%23MUNWHU,NA,%23MUNWHU,26988,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Balerdi,http://twitter.com/search?q=Balerdi,NA,Balerdi,17398,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
#TWICE_BreakthroughAward,http://twitter.com/search?q=%23TWICE_BreakthroughAward,NA,%23TWICE_BreakthroughAward,11708,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Garnacho,http://twitter.com/search?q=Garnacho,NA,Garnacho,81002,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Spurs,http://twitter.com/search?q=Spurs,NA,Spurs,37347,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
#FACup,http://twitter.com/search?q=%23FACup,NA,%23FACup,58227,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
#BBWomenInMusic,http://twitter.com/search?q=%23BBWomenInMusic,NA,%23BBWomenInMusic,23070,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Grimsby,http://twitter.com/search?q=Grimsby,NA,Grimsby,20642,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Everton,http://twitter.com/search?q=Everton,NA,Everton,94991,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Atucha,http://twitter.com/search?q=Atucha,NA,Atucha,39482,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Martinelli,http://twitter.com/search?q=Martinelli,NA,Martinelli,50066,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Chychrun,http://twitter.com/search?q=Chychrun,NA,Chychrun,13886,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Saka,http://twitter.com/search?q=Saka,NA,Saka,111624,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
Tottenham,http://twitter.com/search?q=Tottenham,NA,Tottenham,37605,Worldwide,1,2023-03-02T06:15:46Z,2023-02-27T21:56:02Z
