trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Yon de Luisa,http://twitter.com/search?q=%22Yon+de+Luisa%22,NA,%22Yon+de+Luisa%22,25615,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Tata,http://twitter.com/search?q=Tata,NA,Tata,144719,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Antuna,http://twitter.com/search?q=Antuna,NA,Antuna,30677,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Luis Chávez,http://twitter.com/search?q=%22Luis+Ch%C3%A1vez%22,NA,%22Luis+Ch%C3%A1vez%22,51006,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
#SeleccionMexicana,http://twitter.com/search?q=%23SeleccionMexicana,NA,%23SeleccionMexicana,19573,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Raúl Jiménez,http://twitter.com/search?q=%22Ra%C3%BAl+Jim%C3%A9nez%22,NA,%22Ra%C3%BAl+Jim%C3%A9nez%22,19756,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
#MexicoVsArabia,http://twitter.com/search?q=%23MexicoVsArabia,NA,%23MexicoVsArabia,43609,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
#JuegosColosales,http://twitter.com/search?q=%23JuegosColosales,NA,%23JuegosColosales,NA,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Federación,http://twitter.com/search?q=Federaci%C3%B3n,NA,Federaci%C3%B3n,15456,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
#AEWDynamite,http://twitter.com/search?q=%23AEWDynamite,NA,%23AEWDynamite,33954,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
FEMEXFUT,http://twitter.com/search?q=FEMEXFUT,NA,FEMEXFUT,NA,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Henry,http://twitter.com/search?q=Henry,NA,Henry,79147,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Vega,http://twitter.com/search?q=Vega,NA,Vega,41260,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Guardado,http://twitter.com/search?q=Guardado,NA,Guardado,15140,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Moreno,http://twitter.com/search?q=Moreno,NA,Moreno,37267,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
CONADE,http://twitter.com/search?q=CONADE,NA,CONADE,NA,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Christine McVie,http://twitter.com/search?q=%22Christine+McVie%22,NA,%22Christine+McVie%22,130695,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Chucky,http://twitter.com/search?q=Chucky,NA,Chucky,31903,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Fracaso,http://twitter.com/search?q=Fracaso,NA,Fracaso,50857,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Gallardo,http://twitter.com/search?q=Gallardo,NA,Gallardo,29038,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Funes Mori,http://twitter.com/search?q=%22Funes+Mori%22,NA,%22Funes+Mori%22,11491,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
La Jumpa,http://twitter.com/search?q=%22La+Jumpa%22,NA,%22La+Jumpa%22,10228,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
#GritanteFuera,http://twitter.com/search?q=%23GritanteFuera,NA,%23GritanteFuera,NA,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
La FMF,http://twitter.com/search?q=%22La+FMF%22,NA,%22La+FMF%22,15144,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
SEDENA,http://twitter.com/search?q=SEDENA,NA,SEDENA,NA,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Kevin Álvarez,http://twitter.com/search?q=%22Kevin+%C3%81lvarez%22,NA,%22Kevin+%C3%81lvarez%22,12712,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Pachuca,http://twitter.com/search?q=Pachuca,NA,Pachuca,NA,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
Mediocre,http://twitter.com/search?q=Mediocre,NA,Mediocre,32824,Mexico,23424900,2022-12-01T08:36:02Z,2022-11-29T07:58:27Z
