trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
الشعب الجزايري,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%B4%D8%B9%D8%A8+%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D9%8A%D8%B1%D9%8A%22,NA,%22%D8%A7%D9%84%D8%B4%D8%B9%D8%A8+%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D9%8A%D8%B1%D9%8A%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
برشلونة,http://twitter.com/search?q=%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9,NA,%D8%A8%D8%B1%D8%B4%D9%84%D9%88%D9%86%D8%A9,14725,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
#وهران,http://twitter.com/search?q=%23%D9%88%D9%87%D8%B1%D8%A7%D9%86,NA,%23%D9%88%D9%87%D8%B1%D8%A7%D9%86,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
#yargı,http://twitter.com/search?q=%23yarg%C4%B1,NA,%23yarg%C4%B1,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
#النيجر,http://twitter.com/search?q=%23%D8%A7%D9%84%D9%86%D9%8A%D8%AC%D8%B1,NA,%23%D8%A7%D9%84%D9%86%D9%8A%D8%AC%D8%B1,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
#JUNGKOOK,http://twitter.com/search?q=%23JUNGKOOK,NA,%23JUNGKOOK,49503,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
التواصل الاجتماعي,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84+%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A%22,NA,%22%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84+%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A%22,10127,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
التعاون الاسلامي,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86+%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%D9%8A%22,NA,%22%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86+%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%D9%8A%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
كريم غازي,http://twitter.com/search?q=%22%D9%83%D8%B1%D9%8A%D9%85+%D8%BA%D8%A7%D8%B2%D9%8A%22,NA,%22%D9%83%D8%B1%D9%8A%D9%85+%D8%BA%D8%A7%D8%B2%D9%8A%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
السعودية,http://twitter.com/search?q=%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,NA,%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,296332,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
ليفربول,http://twitter.com/search?q=%D9%84%D9%8A%D9%81%D8%B1%D8%A8%D9%88%D9%84,NA,%D9%84%D9%8A%D9%81%D8%B1%D8%A8%D9%88%D9%84,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
تشافي,http://twitter.com/search?q=%D8%AA%D8%B4%D8%A7%D9%81%D9%8A,NA,%D8%AA%D8%B4%D8%A7%D9%81%D9%8A,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
البايرن,http://twitter.com/search?q=%D8%A7%D9%84%D8%A8%D8%A7%D9%8A%D8%B1%D9%86,NA,%D8%A7%D9%84%D8%A8%D8%A7%D9%8A%D8%B1%D9%86,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
القضيه الفلسطينيه,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%82%D8%B6%D9%8A%D9%87+%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%87%22,NA,%22%D8%A7%D9%84%D9%82%D8%B6%D9%8A%D9%87+%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%87%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
تشيلسي,http://twitter.com/search?q=%D8%AA%D8%B4%D9%8A%D9%84%D8%B3%D9%8A,NA,%D8%AA%D8%B4%D9%8A%D9%84%D8%B3%D9%8A,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
السيسي,http://twitter.com/search?q=%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A,NA,%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A,12126,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الأهلي,http://twitter.com/search?q=%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A,NA,%D8%A7%D9%84%D8%A3%D9%87%D9%84%D9%8A,72069,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
ابن تيمية,http://twitter.com/search?q=%22%D8%A7%D8%A8%D9%86+%D8%AA%D9%8A%D9%85%D9%8A%D8%A9%22,NA,%22%D8%A7%D8%A8%D9%86+%D8%AA%D9%8A%D9%85%D9%8A%D8%A9%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
إسرائيل,http://twitter.com/search?q=%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,NA,%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84,56216,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
موسى,http://twitter.com/search?q=%D9%85%D9%88%D8%B3%D9%89,NA,%D9%85%D9%88%D8%B3%D9%89,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الدول العربيه,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%AF%D9%88%D9%84+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D9%87%22,NA,%22%D8%A7%D9%84%D8%AF%D9%88%D9%84+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D9%87%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الخليج,http://twitter.com/search?q=%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC,NA,%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC,21148,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الامه الاسلاميه,http://twitter.com/search?q=%22%D8%A7%D9%84%D8%A7%D9%85%D9%87+%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D9%87%22,NA,%22%D8%A7%D9%84%D8%A7%D9%85%D9%87+%D8%A7%D9%84%D8%A7%D8%B3%D9%84%D8%A7%D9%85%D9%8A%D9%87%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
القدس,http://twitter.com/search?q=%D8%A7%D9%84%D9%82%D8%AF%D8%B3,NA,%D8%A7%D9%84%D9%82%D8%AF%D8%B3,22807,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
الموسم الماضي,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85+%D8%A7%D9%84%D9%85%D8%A7%D8%B6%D9%8A%22,NA,%22%D8%A7%D9%84%D9%85%D9%88%D8%B3%D9%85+%D8%A7%D9%84%D9%85%D8%A7%D8%B6%D9%8A%22,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
تركيا,http://twitter.com/search?q=%D8%AA%D8%B1%D9%83%D9%8A%D8%A7,NA,%D8%AA%D8%B1%D9%83%D9%8A%D8%A7,NA,Algeria,23424740,2023-01-31T04:27:43Z,2023-01-26T02:53:09Z
