trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#LikeCrazyNo1Hot100,http://twitter.com/search?q=%23LikeCrazyNo1Hot100,NA,%23LikeCrazyNo1Hot100,322020,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
PARK JIMIN,http://twitter.com/search?q=%22PARK+JIMIN%22,NA,%22PARK+JIMIN%22,251825,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
#سبويلر_ون_بيس,http://twitter.com/search?q=%23%D8%B3%D8%A8%D9%88%D9%8A%D9%84%D8%B1_%D9%88%D9%86_%D8%A8%D9%8A%D8%B3,NA,%23%D8%B3%D8%A8%D9%88%D9%8A%D9%84%D8%B1_%D9%88%D9%86_%D8%A8%D9%8A%D8%B3,NA,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
قيس سعيد,http://twitter.com/search?q=%22%D9%82%D9%8A%D8%B3+%D8%B3%D8%B9%D9%8A%D8%AF%22,NA,%22%D9%82%D9%8A%D8%B3+%D8%B3%D8%B9%D9%8A%D8%AF%22,NA,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
بشار الاسد,http://twitter.com/search?q=%22%D8%A8%D8%B4%D8%A7%D8%B1+%D8%A7%D9%84%D8%A7%D8%B3%D8%AF%22,NA,%22%D8%A8%D8%B4%D8%A7%D8%B1+%D8%A7%D9%84%D8%A7%D8%B3%D8%AF%22,NA,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
ميلان,http://twitter.com/search?q=%D9%85%D9%8A%D9%84%D8%A7%D9%86,NA,%D9%85%D9%8A%D9%84%D8%A7%D9%86,23975,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
سوريا,http://twitter.com/search?q=%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,NA,%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,18815,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
القوات البريه,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA+%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D9%87%22,NA,%22%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA+%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D9%87%22,NA,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
#النفط,http://twitter.com/search?q=%23%D8%A7%D9%84%D9%86%D9%81%D8%B7,NA,%23%D8%A7%D9%84%D9%86%D9%81%D8%B7,NA,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
CONGRATULATIONS JIMIN,http://twitter.com/search?q=%22CONGRATULATIONS+JIMIN%22,NA,%22CONGRATULATIONS+JIMIN%22,411572,Algeria,23424740,2023-04-04T00:04:05Z,2023-03-06T23:32:55Z
