trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#اليوم_العالمي_للمراه,http://twitter.com/search?q=%23%D8%A7%D9%84%D9%8A%D9%88%D9%85_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A_%D9%84%D9%84%D9%85%D8%B1%D8%A7%D9%87,NA,%23%D8%A7%D9%84%D9%8A%D9%88%D9%85_%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A_%D9%84%D9%84%D9%85%D8%B1%D8%A7%D9%87,142367,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
عيد المراه,http://twitter.com/search?q=%22%D8%B9%D9%8A%D8%AF+%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%87%22,NA,%22%D8%B9%D9%8A%D8%AF+%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%87%22,NA,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
#HappyBirthdaySUGA,http://twitter.com/search?q=%23HappyBirthdaySUGA,NA,%23HappyBirthdaySUGA,482504,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
عيد سعيد,http://twitter.com/search?q=%22%D8%B9%D9%8A%D8%AF+%D8%B3%D8%B9%D9%8A%D8%AF%22,NA,%22%D8%B9%D9%8A%D8%AF+%D8%B3%D8%B9%D9%8A%D8%AF%22,NA,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
#InternationalWomensDay,http://twitter.com/search?q=%23InternationalWomensDay,NA,%23InternationalWomensDay,812173,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
اليوم العالمي,http://twitter.com/search?q=%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%22,NA,%22%D8%A7%D9%84%D9%8A%D9%88%D9%85+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A%22,162042,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
#8mars,http://twitter.com/search?q=%238mars,NA,%238mars,60994,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
8 مارس,http://twitter.com/search?q=%228+%D9%85%D8%A7%D8%B1%D8%B3%22,NA,%228+%D9%85%D8%A7%D8%B1%D8%B3%22,27596,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
#توفير_سكن_عايله_ساره,http://twitter.com/search?q=%23%D8%AA%D9%88%D9%81%D9%8A%D8%B1_%D8%B3%D9%83%D9%86_%D8%B9%D8%A7%D9%8A%D9%84%D9%87_%D8%B3%D8%A7%D8%B1%D9%87,NA,%23%D8%AA%D9%88%D9%81%D9%8A%D8%B1_%D8%B3%D9%83%D9%86_%D8%B9%D8%A7%D9%8A%D9%84%D9%87_%D8%B3%D8%A7%D8%B1%D9%87,NA,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
نساء العالم,http://twitter.com/search?q=%22%D9%86%D8%B3%D8%A7%D8%A1+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%22,NA,%22%D9%86%D8%B3%D8%A7%D8%A1+%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%22,NA,Algeria,23424740,2023-03-08T23:23:50Z,2023-02-11T21:38:45Z
