trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#EsClaudia,http://twitter.com/search?q=%23EsClaudia,NA,%23EsClaudia,34235,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
#MetroCDMX,http://twitter.com/search?q=%23MetroCDMX,NA,%23MetroCDMX,31700,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Morelia,http://twitter.com/search?q=Morelia,NA,Morelia,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Michoacán,http://twitter.com/search?q=Michoac%C3%A1n,NA,Michoac%C3%A1n,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Jefa de Gobierno,http://twitter.com/search?q=%22Jefa+de+Gobierno%22,NA,%22Jefa+de+Gobierno%22,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Madrid,http://twitter.com/search?q=Madrid,NA,Madrid,183432,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Incidente,http://twitter.com/search?q=Incidente,NA,Incidente,11465,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
ACCIDENTE,http://twitter.com/search?q=ACCIDENTE,NA,ACCIDENTE,33360,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
#linea12,http://twitter.com/search?q=%23linea12,NA,%23linea12,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Ciudad de México,http://twitter.com/search?q=%22Ciudad+de+M%C3%A9xico%22,NA,%22Ciudad+de+M%C3%A9xico%22,10767,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
#FelizSabado,http://twitter.com/search?q=%23FelizSabado,NA,%23FelizSabado,10592,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
INEPTA,http://twitter.com/search?q=INEPTA,NA,INEPTA,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
#VLAFinDeSemana,http://twitter.com/search?q=%23VLAFinDeSemana,NA,%23VLAFinDeSemana,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
República,http://twitter.com/search?q=Rep%C3%BAblica,NA,Rep%C3%BAblica,52023,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
Asensio,http://twitter.com/search?q=Asensio,NA,Asensio,NA,Acapulco,110978,2023-01-08T00:05:47Z,2023-01-07T05:22:08Z
