trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
#SalarioRosaEsUnaRealidad,http://twitter.com/search?q=%23SalarioRosaEsUnaRealidad,NA,%23SalarioRosaEsUnaRealidad,29728,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Rashford,http://twitter.com/search?q=Rashford,NA,Rashford,133157,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Gavi,http://twitter.com/search?q=Gavi,NA,Gavi,40169,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Casemiro,http://twitter.com/search?q=Casemiro,NA,Casemiro,45796,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Barcelona,http://twitter.com/search?q=Barcelona,NA,Barcelona,321864,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Xavi,http://twitter.com/search?q=Xavi,NA,Xavi,72150,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Pedri,http://twitter.com/search?q=Pedri,NA,Pedri,48682,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Europa League,http://twitter.com/search?q=%22Europa+League%22,NA,%22Europa+League%22,54305,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Camp Nou,http://twitter.com/search?q=%22Camp+Nou%22,NA,%22Camp+Nou%22,62082,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Barça,http://twitter.com/search?q=Bar%C3%A7a,NA,Bar%C3%A7a,235255,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Marcos Alonso,http://twitter.com/search?q=%22Marcos+Alonso%22,NA,%22Marcos+Alonso%22,14660,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Manchester United,http://twitter.com/search?q=%22Manchester+United%22,NA,%22Manchester+United%22,150352,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Ter Stegen,http://twitter.com/search?q=%22Ter+Stegen%22,NA,%22Ter+Stegen%22,19173,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Kounde,http://twitter.com/search?q=Kounde,NA,Kounde,24482,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
#TaniaRagasolEnConvoy,http://twitter.com/search?q=%23TaniaRagasolEnConvoy,NA,%23TaniaRagasolEnConvoy,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Depeche Mode,http://twitter.com/search?q=%22Depeche+Mode%22,NA,%22Depeche+Mode%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Raphinha,http://twitter.com/search?q=Raphinha,NA,Raphinha,30792,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
namjoon,http://twitter.com/search?q=namjoon,NA,namjoon,195583,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
De Gea,http://twitter.com/search?q=%22De+Gea%22,NA,%22De+Gea%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Old Trafford,http://twitter.com/search?q=%22Old+Trafford%22,NA,%22Old+Trafford%22,13822,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Ferran,http://twitter.com/search?q=Ferran,NA,Ferran,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
#Coacalco,http://twitter.com/search?q=%23Coacalco,NA,%23Coacalco,35956,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Jordi Alba,http://twitter.com/search?q=%22Jordi+Alba%22,NA,%22Jordi+Alba%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
#FelizJueves,http://twitter.com/search?q=%23FelizJueves,NA,%23FelizJueves,17627,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Sergi Roberto,http://twitter.com/search?q=%22Sergi+Roberto%22,NA,%22Sergi+Roberto%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Yasmín Esquivel,http://twitter.com/search?q=%22Yasm%C3%ADn+Esquivel%22,NA,%22Yasm%C3%ADn+Esquivel%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Hola Fer,http://twitter.com/search?q=%22Hola+Fer%22,NA,%22Hola+Fer%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Villalvazo,http://twitter.com/search?q=Villalvazo,NA,Villalvazo,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Balde,http://twitter.com/search?q=Balde,NA,Balde,19979,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Garnacho,http://twitter.com/search?q=Garnacho,NA,Garnacho,14245,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Lewandowski,http://twitter.com/search?q=Lewandowski,NA,Lewandowski,18857,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Ten Hag,http://twitter.com/search?q=%22Ten+Hag%22,NA,%22Ten+Hag%22,36703,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Christensen,http://twitter.com/search?q=Christensen,NA,Christensen,14868,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Mafalda,http://twitter.com/search?q=Mafalda,NA,Mafalda,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Comité de Ética de la UNAM,http://twitter.com/search?q=%22Comit%C3%A9+de+%C3%89tica+de+la+UNAM%22,NA,%22Comit%C3%A9+de+%C3%89tica+de+la+UNAM%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Ajax,http://twitter.com/search?q=Ajax,NA,Ajax,21611,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
CrossFit,http://twitter.com/search?q=CrossFit,NA,CrossFit,27722,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
#PoderosoAlTiro,http://twitter.com/search?q=%23PoderosoAlTiro,NA,%23PoderosoAlTiro,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Emilio Lozoya,http://twitter.com/search?q=%22Emilio+Lozoya%22,NA,%22Emilio+Lozoya%22,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Ansu,http://twitter.com/search?q=Ansu,NA,Ansu,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Chloe,http://twitter.com/search?q=Chloe,NA,Chloe,45347,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Jodio,http://twitter.com/search?q=Jodio,NA,Jodio,19810,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Agronitrogenados,http://twitter.com/search?q=Agronitrogenados,NA,Agronitrogenados,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
César de Castro,http://twitter.com/search?q=%22C%C3%A9sar+de+Castro%22,NA,%22C%C3%A9sar+de+Castro%22,18679,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Sancho,http://twitter.com/search?q=Sancho,NA,Sancho,19927,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
UEFA,http://twitter.com/search?q=UEFA,NA,UEFA,45827,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
Tetris,http://twitter.com/search?q=Tetris,NA,Tetris,NA,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
La Liga,http://twitter.com/search?q=%22La+Liga%22,NA,%22La+Liga%22,81347,Acapulco,110978,2023-02-17T01:45:35Z,2023-02-15T11:19:35Z
#SalarioRosaEsUnaRealidad,http://twitter.com/search?q=%23SalarioRosaEsUnaRealidad,NA,%23SalarioRosaEsUnaRealidad,29728,Aguascalientes,111579,2023-02-17T01:45:36Z,2023-02-15T11:19:35Z
