trend,url,promoted_content,query,tweet_volume,place,woeid,as_of,created_at
Polo Polo,http://twitter.com/search?q=%22Polo+Polo%22,NA,%22Polo+Polo%22,104864,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
#FelizLunes,http://twitter.com/search?q=%23FelizLunes,NA,%23FelizLunes,32226,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Licha,http://twitter.com/search?q=Licha,NA,Licha,NA,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Barranca del Muerto,http://twitter.com/search?q=%22Barranca+del+Muerto%22,NA,%22Barranca+del+Muerto%22,52897,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
HAVE A SAFE FLIGHT YOONGI,http://twitter.com/search?q=%22HAVE+A+SAFE+FLIGHT+YOONGI%22,NA,%22HAVE+A+SAFE+FLIGHT+YOONGI%22,47382,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
El Grande,http://twitter.com/search?q=%22El+Grande%22,NA,%22El+Grande%22,91150,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Línea 7,http://twitter.com/search?q=%22L%C3%ADnea+7%22,NA,%22L%C3%ADnea+7%22,36437,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Atípico,http://twitter.com/search?q=At%C3%ADpico,NA,At%C3%ADpico,NA,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
#CristianRey,http://twitter.com/search?q=%23CristianRey,NA,%23CristianRey,NA,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
#kornoquieromuse,http://twitter.com/search?q=%23kornoquieromuse,NA,%23kornoquieromuse,NA,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Prescott,http://twitter.com/search?q=Prescott,NA,Prescott,28455,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Cancún,http://twitter.com/search?q=Canc%C3%BAn,NA,Canc%C3%BAn,39902,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
#WeLoveBuild,http://twitter.com/search?q=%23WeLoveBuild,NA,%23WeLoveBuild,81540,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Schiaparelli,http://twitter.com/search?q=Schiaparelli,NA,Schiaparelli,91176,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
#Cowboysvs49ers,http://twitter.com/search?q=%23Cowboysvs49ers,NA,%23Cowboysvs49ers,NA,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
Andrés Bustamante,http://twitter.com/search?q=%22Andr%C3%A9s+Bustamante%22,NA,%22Andr%C3%A9s+Bustamante%22,NA,Acapulco,110978,2023-01-24T11:58:48Z,2023-01-21T23:13:26Z
